Tokenizer,Embedding,Classifier,Precision,Recall,F1-Score,Runtime (s)
Whitespace,Word2Vec,CRF,0.0,0.0,0.0,0.83
Whitespace,Word2Vec,Softmax,0.25,0.0152,0.0286,0.29
Whitespace,GloVe,CRF,0.0,0.0,0.0,0.74
Whitespace,GloVe,Softmax,0.0,0.0,0.0,0.24
Whitespace,FastText,CRF,0.0,0.0,0.0,0.64
Whitespace,FastText,Softmax,0.0,0.0,0.0,0.27
Whitespace,ELMo,CRF,0.0,0.0,0.0,1.52
Whitespace,ELMo,Softmax,0.0,0.0,0.0,1.08
Whitespace,BERT,CRF,0.0,0.0,0.0,134.19
Whitespace,BERT,Softmax,0.0,0.0,0.0,27.46
NLTK,Word2Vec,CRF,0.0974,0.2879,0.1456,0.9
NLTK,Word2Vec,Softmax,0.2,0.0152,0.0282,0.33
NLTK,GloVe,CRF,0.0417,0.0152,0.0222,0.77
NLTK,GloVe,Softmax,0.0,0.0,0.0,0.29
NLTK,FastText,CRF,0.0,0.0,0.0,1.01
NLTK,FastText,Softmax,0.0,0.0,0.0,0.37
NLTK,ELMo,CRF,0.0,0.0,0.0,1.76
NLTK,ELMo,Softmax,0.0,0.0,0.0,1.28
NLTK,BERT,CRF,0.0,0.0,0.0,34.4
NLTK,BERT,Softmax,0.0,0.0,0.0,98.58
BPE,Word2Vec,CRF,0.1462,0.1118,0.1267,8.96
BPE,Word2Vec,Softmax,0.0,0.0,0.0,5.03
BPE,GloVe,CRF,0.0,0.0,0.0,9.05
BPE,GloVe,Softmax,0.0,0.0,0.0,5.8
BPE,FastText,CRF,0.0,0.0,0.0,5.44
BPE,FastText,Softmax,0.0,0.0,0.0,3.25
BPE,ELMo,CRF,0.0,0.0,0.0,6.09
BPE,ELMo,Softmax,0.0,0.0,0.0,3.62
BPE,BERT,CRF,0.0,0.0,0.0,103.78
BPE,BERT,Softmax,0.0,0.0,0.0,69.8
